"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"10s1/2","8p3/2","8.4923350","0.0383342","8.492(38)","10161.3965","0.6196","10161.4(6)","69635.6047","628.795983","6.964(63)E+04","0.04080128108566316","0.00039180614540845245","0.04080(39)","","","",""
"10s1/2","9p1/2","45.5285170","0.0822560","45.529(82)","36493.1938","0.4103","36493.2(4)","43208.4511","156.135512","4.321(16)E+04","0.025316936133925865","0.00013803272748968227","0.02532(14)","","","",""
"10s1/2","9p3/2","64.7169800","0.1199530","64.72(12)","36724.1338","0.4155","36724.1(4)","85668.0958","317.585146","8.567(32)E+04","0.05019512745386972","0.00027352062880489446","0.05020(27)","","","",""
"11s1/2","4p1/2","0.1451240","0.0007551","0.14512(76)","485.1219","0.0000","485.1219","186880.0926","1944.725310","1.869(19)E+05","0.15566375966870538","0.0014921525283888074","0.1557(15)","","","",""
"11s1/2","4p3/2","0.2050002","0.0010854","0.2050(11)","486.4839","0.0000","486.4839","369777.4237","3915.668528","3.698(39)E+05","0.3080100357826063","0.0023931075115072764","0.3080(24)","","","",""
"11s1/2","5p1/2","0.3342208","0.0018005","0.3342(18)","1123.9519","0.0006","1123.9519(6)","79700.5015","858.718277","7.970(86)E+04","0.0663873799419356","0.000721097497617584","0.06639(72)","","","",""
"11s1/2","5p3/2","0.4709815","0.0025890","0.4710(26)","1126.3264","0.0006","1126.3264(6)","157272.2748","1729.061223","1.573(17)E+05","0.1310016130808603","0.0013519910283773411","0.1310(14)","","","",""
"11s1/2","6p1/2","0.6726245","0.0036499","0.6726(36)","2174.2488","0.0236","2174.25(2)","44591.7969","483.944116","4.459(48)E+04","0.03714321121852192","0.00041749782375003093","0.03714(42)","","","",""
"11s1/2","6p3/2","0.9467170","0.0052636","0.9467(53)","2178.2460","0.0237","2178.25(2)","87853.0587","976.903038","8.785(98)E+04","0.07317813913752137","0.0008111279978324641","0.07318(81)","","","",""
"11s1/2","7p1/2","1.3327072","0.0071682","1.3327(72)","3954.6642","0.0938","3954.66(9)","29092.2935","312.962885","2.909(31)E+04","0.02423273514551944","0.000273547456222687","0.02423(27)","","","",""
"11s1/2","7p3/2","1.8747789","0.0103462","1.875(10)","3961.7145","0.0942","3961.71(9)","57264.8215","632.059240","5.726(63)E+04","0.04769934179315783","0.0005386301941808371","0.04770(54)","","","",""
"11s1/2","8p1/2","2.8650050","0.0148377","2.865(15)","7293.3093","0.3192","7293.3(3)","21434.5412","222.034404","2.143(22)E+04","0.017854128943423343","0.00019621777140747956","0.01785(20)","","","",""
