"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"9p1/2","9s1/2","17.4449940","0.0624050","17.445(62)","6909.8472","0.3057","6909.8(3)","934487.7754","6686.932074","9.345(67)E+05","0.28679118563719924","0.010140808810945668","0.287(10)","","","",""
"9p1/2","6d3/2","0.7492072","0.0076856","0.7492(77)","918.4136","0.0049","918.414(5)","734050.9705","15060.250005","7.34(15)E+05","0.22527779784838867","0.008607093328116558","0.2253(86)","","","",""
"9p1/2","7d3/2","6.3036807","0.1644254","6.30(16)","3479.2532","0.0706","3479.25(7)","955801.2934","49862.334221","9.56(50)E+05","0.2933322333256366","0.01422997156381186","0.293(14)","","","",""
"9p3/2","7s1/2","0.4351017","0.0265076","0.435(27)","365.4143","0.0007","365.4143(7)","1965315.8908","239464.969042","1.97(24)E+06","0.35799540629624044","0.028246172727742665","0.358(28)","","","",""
"9p3/2","8s1/2","2.2295947","0.0320970","2.230(32)","1311.2656","0.0100","1311.27(1)","1116830.2051","32155.539720","1.117(32)E+06","0.20343807572819406","0.010173007252119365","0.203(10)","","","",""
"9p3/2","9s1/2","22.7012760","0.1237490","22.70(12)","5899.0090","0.2228","5899.0(2)","1271659.0444","13864.862482","1.272(14)E+06","0.23164118216525134","0.010545818039725425","0.232(11)","","","",""
"9p3/2","6d3/2","0.2546989","0.0108209","0.255(11)","897.9619","0.0047","897.962(5)","45382.4283","3856.151136","4.54(39)E+04","0.008266712194288175","0.0007890019814152637","0.00827(79)","","","",""
"9p3/2","6d5/2","0.8162727","0.0289593","0.816(29)","914.3643","0.0049","914.364(5)","441489.1951","31325.850716","4.41(31)E+05","0.08042020344306697","0.0063494799635616704","0.0804(63)","","","",""
"9p3/2","7d3/2","1.9787449","0.0723808","1.979(72)","3202.9005","0.0598","3202.90(6)","60361.0203","4415.910527","6.04(44)E+04","0.010995162699313702","0.0009357720671188377","0.01100(94)","","","",""
"9p3/2","7d5/2","6.4534536","0.1695557","6.45(17)","3296.7721","0.0634","3296.77(6)","588741.8508","30936.798479","5.89(31)E+05","0.10724325747364513","0.0069317958161119264","0.1072(69)","","","",""
"10p1/2","7s1/2","0.0557302","0.0151946","0.056(15)","344.0661","0.0006","344.0661(6)","77248.9772","42123.204641","7.7(42)E+04","0.04322212294679224","0.022563716488100474","0.043(23)","","","",""
"10p1/2","8s1/2","0.3826871","0.0155267","0.383(16)","1072.4781","0.0067","1072.478(7)","120270.6611","9759.443281","1.203(98)E+05","0.06729349029576148","0.0054611323753145655","0.0673(55)","","","",""
"10p1/2","9s1/2","1.8410636","0.0415917","1.841(42)","2947.0880","0.0556","2947.09(6)","134151.5176","6061.272468","1.342(61)E+05","0.07506006674708095","0.003843871117947385","0.0751(38)","","","",""
"10p1/2","10s1/2","26.6199680","0.1140560","26.62(11)","13270.2906","0.8868","13270.3(9)","307192.8257","2633.119059","3.072(26)E+05","0.1718796358611958","0.005257838837142788","0.1719(53)","","","",""
"10p1/2","6d3/2","0.4056164","0.0088312","0.4056(88)","779.1615","0.0035","779.161(4)","352359.4301","15343.347809","3.52(15)E+05","0.19715112291914139","0.008895930217434435","0.1972(89)","","","",""
"10p1/2","7d3/2","1.8556959","0.0451298","1.856(45)","2074.6242","0.0251","2074.62(3)","390690.2633","19002.874722","3.91(19)E+05","0.218597879215793","0.010297365869586666","0.219(10)","","","",""
"10p1/2","8d3/2","11.2977700","0.2513390","11.30(25)","6832.8274","0.2357","6832.8(2)","405341.8315","18035.149625","4.05(18)E+05","0.2267956820142351","0.010064378758536531","0.227(10)","","","",""
"10p3/2","7s1/2","0.2702791","0.0181378","0.270(18)","342.4882","0.0006","342.4882(6)","921076.2255","123622.554424","9.2(12)E+05","0.31468096213869234","0.029118986817850818","0.315(29)","","","",""
"10p3/2","8s1/2","1.0502896","0.0206929","1.050(21)","1057.2937","0.0065","1057.294(7)","472757.6094","18628.627785","4.73(19)E+05","0.1615152093386525","0.008753553013528407","0.1615(88)","","","",""
"10p3/2","9s1/2","3.8789810","0.0456060","3.879(46)","2835.1984","0.0515","2835.20(5)","334420.0020","7863.714476","3.344(79)E+05","0.11425287624392969","0.00549450146631629","0.1143(55)","","","",""
"10p3/2","10s1/2","34.3024440","0.2260430","34.30(23)","11267.9484","0.6394","11267.9(6)","416603.4779","5491.046360","4.166(55)E+05","0.142330438717556","0.006381747953482579","0.1423(64)","","","",""
"10p3/2","6d3/2","0.1377159","0.0029794","0.1377(30)","771.1159","0.0035","771.116(3)","20951.5710","906.549117","2.095(91)E+04","0.007157996641733017","0.0004372545183265521","0.00716(44)","","","",""
"10p3/2","6d5/2","0.4418354","0.0083807","0.4418(84)","783.1804","0.0036","783.180(4)","205846.2092","7808.950747","2.058(78)E+05","0.07032630024200812","0.003930003509343097","0.0703(39)","","","",""
"10p3/2","7d3/2","0.6360414","0.0182892","0.636(18)","2018.5464","0.0238","2018.55(2)","24915.0562","1432.851800","2.49(14)E+04","0.008512101009323618","0.0006100966522682017","0.00851(61)","","","",""
"10p3/2","7d5/2","2.0588047","0.0498470","2.059(50)","2055.4309","0.0246","2055.43(2)","247245.8439","11972.448847","2.47(12)E+05","0.08447027280839213","0.0052308933971599286","0.0845(52)","","","",""
"10p3/2","8d3/2","3.5607115","0.1162827","3.56(12)","6260.0435","0.1979","6260.0(2)","26178.7464","1709.848450","2.62(17)E+04","0.0089438342590407","0.0006971483410249882","0.00894(70)","","","",""
"10p3/2","8d5/2","11.6423980","0.3417090","11.64(34)","6440.3236","0.2094","6440.3(2)","257021.3042","15087.375313","2.57(15)E+05","0.08781000860067205","0.00603707402645378","0.0878(60)","","","",""
"11p1/2","7s1/2","0.0342736","0.0113928","0.034(11)","331.5532","0.0006","331.5532(6)","32651.0380","21706.896628","3.3(22)E+04","0.029569823902705544","0.019087404311114248","0.030(19)","","","",""
"11p1/2","8s1/2","0.2142310","0.0085333","0.2142(85)","959.5925","0.0054","959.593(5)","52618.8535","4191.853398","5.26(42)E+04","0.047653315978367465","0.0038640538877134606","0.0477(39)","","","",""
"11p1/2","9s1/2","0.7399284","0.0157640","0.740(16)","2227.1368","0.0318","2227.14(3)","50208.3605","2139.355628","5.02(21)E+04","0.04547029641243227","0.0022662087591189804","0.0455(23)","","","",""
"11p1/2","10s1/2","2.9101583","0.0574767","2.910(57)","5404.0821","0.1471","5404.1(1)","54363.1627","2147.389622","5.44(21)E+04","0.04923301811046486","0.002330220437527832","0.0492(23)","","","",""
"11p1/2","11s1/2","37.6428570","0.1828820","37.64(18)","22616.1964","2.5758","22616(3)","124091.9955","1206.508777","1.241(12)E+05","0.112381678373059","0.0033841208705501346","0.1124(34)","","","",""
"11p1/2","6d3/2","0.2697770","0.0069257","0.2698(69)","717.8133","0.0030","717.813(3)","199348.3909","10235.321707","1.99(10)E+05","0.18053627598117758","0.009058948027463798","0.1805(91)","","","",""
"11p1/2","7d3/2","0.9993508","0.0284163","0.999(28)","1690.0342","0.0167","1690.03(2)","209597.8173","11919.728812","2.10(12)E+05","0.18981848426194897","0.01011544915447862","0.190(10)","","","",""
"11p1/2","8d3/2","3.3516349","0.1003396","3.35(10)","3905.6199","0.0770","3905.62(8)","191020.8574","11437.382859","1.91(11)E+05","0.17299459542823797","0.00975256375558131","0.1730(98)","","","",""
