"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"9s1/2","4p1/2","0.6620983","0.0003310","0.66210(33)","1807.0928","0.3282","1807.1(3)","75255.9534","85.690882","7.5256(86)E+04","0.043074774159250644","5.546024022790714e-05","0.043075(55)","","","",""
"9s1/2","4p3/2","0.9363477","0.0004682","0.93635(47)","1807.0928","0.3282","1807.1(3)","150511.6831","171.408514","1.5051(17)E+05","0.08614942034129716","0.00010713004637006188","0.08615(11)","","","",""
"9s1/2","5p1/2","1.3666363","0.0006833","1.36664(68)","3347.0115","1.1258","3347(1)","50462.8320","71.690136","5.0463(72)E+04","0.028883762625948054","4.4508738703769115e-05","0.028884(45)","","","",""
"9s1/2","5p3/2","1.9327152","0.0009664","1.93272(97)","3347.0115","1.1258","3347(1)","100925.6233","143.385218","1.0093(14)E+05","0.05776750192082213","8.680698191210856e-05","0.057768(87)","","","",""
"9s1/2","6p1/2","2.9670839","0.0014835","2.9671(15)","6201.7042","3.8653","6202(4)","37390.7189","79.282967","3.7391(79)E+04","0.021401586190315004","4.677366015332015e-05","0.021402(47)","","","",""
"9s1/2","6p3/2","4.1960909","0.0020980","4.1961(21)","6201.7042","3.8653","6202(4)","74781.4595","158.566214","7.478(16)E+04","0.04280318478310639","9.164358156060454e-05","0.042803(92)","","","",""
"9s1/2","7p1/2","7.9332996","0.0039666","7.9333(40)","12723.4557","16.2694","12720(20)","30954.9265","122.713707","3.095(12)E+04","0.017717886887097908","7.005054913476077e-05","0.017718(70)","","","",""
"9s1/2","7p3/2","11.2193830","0.0056097","11.2194(56)","12723.4557","16.2694","12720(20)","61909.8874","245.427769","6.191(25)E+04","0.03543579342799617","0.00013758302503441328","0.03544(14)","","","",""
"9s1/2","8p1/2","45.2622740","0.1124330","45.26(11)","39734.5731","158.6711","39700(200)","33082.9629","429.056703","3.308(43)E+04","0.018935925864092915","0.00024123866919150403","0.01894(24)","","","",""
"9s1/2","8p3/2","64.0104900","0.1604660","64.01(16)","39734.5731","158.6711","39700(200)","66165.8601","859.274744","6.617(86)E+04","0.03787181415289489","0.00047355256154814503","0.03787(47)","","","",""
"10s1/2","2p1/2","0.0891731","0.0002134","0.08917(21)","365.0389","0.1333","365.0(1)","165610.3845","813.129782","1.6561(81)E+05","0.1292162562174612","0.0009905955911006905","0.12922(99)","","","",""
"10s1/2","2p3/2","0.1261097","0.0003019","0.12611(30)","365.0434","0.1333","365.0(1)","331207.8723","1626.745553","3.312(16)E+05","0.2584224498432771","0.0018733164171423052","0.2584(19)","","","",""
"10s1/2","3p1/2","0.2457982","0.0008923","0.24580(89)","879.3049","0.7732","879.3(8)","90027.7284","695.449465","9.003(70)E+04","0.0702434575489329","0.0006744219066025499","0.07024(67)","","","",""
"10s1/2","3p3/2","0.3476103","0.0012621","0.3476(13)","879.3049","0.7732","879.3(8)","180054.5782","1391.087189","1.801(14)E+05","0.14048622962303328","0.0012861357715345364","0.1405(13)","","","",""
"10s1/2","4p1/2","0.5175136","0.0022404","0.5175(22)","1715.7220","2.9438","1716(3)","53720.5031","541.119159","5.372(54)E+04","0.04191501829652261","0.0004849302617769058","0.04192(48)","","","",""
"10s1/2","4p3/2","0.7318741","0.0031710","0.7319(32)","1715.7220","2.9438","1716(3)","107440.8149","1082.892318","1.074(11)E+05","0.08382988726935299","0.0009389212854704344","0.08383(94)","","","",""
"10s1/2","5p1/2","0.9961839","0.0046073","0.9962(46)","3046.5142","9.2817","3047(9)","35555.4957","462.358468","3.556(46)E+04","0.027741907921573494","0.00039292888485110907","0.02774(39)","","","",""
"10s1/2","5p3/2","1.4088164","0.0065228","1.4088(65)","3046.5142","9.2817","3047(9)","71110.9528","925.226098","7.111(93)E+04","0.05548378575450989","0.0007675930333642598","0.05548(77)","","","",""
"10s1/2","6p1/2","1.9120814","0.0088080","1.9121(88)","5243.3986","27.4946","5240(30)","25692.8010","468.386959","2.569(47)E+04","0.02004661464005473","0.00038031114848543736","0.02005(38)","","","",""
