"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"8p1/2","6s1/2","0.0915939","0.0126111","0.092(13)","388.9713","0.0000","388.9713","144416.7693","39768.026448","1.44(40)E+05","0.05428239301564714","0.014299231994200148","0.054(14)","","","",""
"8p1/2","7s1/2","0.9143962","0.0267323","0.914(27)","1394.0572","0.0006","1394.0572(6)","312654.2626","18280.844882","3.13(18)E+05","0.11751835779435049","0.007804700041618883","0.1175(78)","","","",""
"8p1/2","8s1/2","17.7771420","0.0594620","17.777(59)","7185.5289","0.0000","7185.5289","862948.6813","5772.880082","8.629(58)E+05","0.3243592811895918","0.013803983641605204","0.324(14)","","","",""
"8p1/2","5d3/2","0.6303709","0.0504091","0.630(50)","892.0942","0.0001","892.0942(1)","567018.8331","90686.004256","5.67(91)E+05","0.21312718254995577","0.027352899157430336","0.213(27)","","","",""
"8p1/2","6d3/2","5.0136941","0.1632010","5.01(16)","3205.1134","0.0010","3205.113(1)","773433.1323","50352.118864","7.73(50)E+05","0.2907127854504548","0.017368656568408393","0.291(17)","","","",""
"8p3/2","6s1/2","0.2319668","0.0154791","0.232(15)","387.7245","0.0005","387.7245(5)","467615.8090","62407.826221","4.68(62)E+05","0.14950869824873544","0.01757119796463668","0.150(18)","","","",""
"8p3/2","7s1/2","1.6203948","0.0351985","1.620(35)","1378.1737","0.0057","1378.174(6)","508085.8739","22073.461810","5.08(22)E+05","0.1624480099622012","0.008284993044863189","0.1624(83)","","","",""
"8p3/2","8s1/2","24.5643940","0.0945000","24.564(95)","6782.6104","0.1380","6782.6(1)","979554.9579","7536.994958","9.796(75)E+05","0.3131886984887416","0.011503071250678575","0.313(12)","","","",""
"8p3/2","5d3/2","0.2574780","0.0263016","0.257(26)","885.5630","0.0024","885.563(2)","48353.6387","9878.731899","4.84(99)E+04","0.015459891316203862","0.0031598565737024136","0.0155(32)","","","",""
"8p3/2","5d5/2","0.7955955","0.0732244","0.796(73)","893.2826","0.0024","893.283(2)","449806.0979","82797.807853","4.50(83)E+05","0.14381447947220466","0.02294931488744227","0.144(23)","","","",""
"8p3/2","6d3/2","1.9795350","0.0724079","1.980(72)","3122.3782","0.0293","3122.38(3)","65204.4410","4770.127323","6.52(48)E+04","0.02084752249927818","0.001675032659246693","0.0208(17)","","","",""
"8p3/2","6d5/2","6.1735260","0.2005302","6.17(20)","3164.7355","0.0301","3164.74(3)","609062.1491","39567.458309","6.09(40)E+05","0.19473270001263515","0.012166647028329638","0.195(12)","","","",""
"9p1/2","6s1/2","0.0429134","0.0088506","0.0429(89)","361.8338","0.0000","361.8338","39381.8121","16244.467534","3.9(16)E+04","0.02737317622289796","0.011004282142458043","0.027(11)","","","",""
"9p1/2","7s1/2","0.3484952","0.0034850","0.3485(35)","1098.7239","0.0004","1098.7239(4)","92760.9638","1855.244831","9.28(19)E+04","0.06447550454892424","0.002167278665285062","0.0645(22)","","","",""
"9p1/2","8s1/2","1.7244582","0.0387669","1.724(39)","3012.1868","0.0005","3012.1868(5)","110229.2723","4956.046112","1.102(50)E+05","0.07661722843368893","0.0038256627737011458","0.0766(38)","","","",""
"9p1/2","9s1/2","27.1015030","0.0805490","27.102(81)","13767.7726","0.0134","13767.77(1)","285123.4963","1694.844398","2.851(17)E+05","0.19818122337157862","0.005615211633467471","0.1982(56)","","","",""
