"Initial","Final","Matrix element (a.u.)","Matrix error","Matrix element (a.u.)","Wavelength (nm)","Wavelength error","Wavelength (nm)","Transition rate (s-1)","Transition rate error","Transition rate (s-1)","Branching ratio","Branching ratio error","Branching ratio","Reference","DOI","Reference 2","DOI 2"
"10s1/2","9p1/2","59.1378770","0.0295689","59.138(30)","52968.6267","5.6393","52969(6)","23840.3502","25.026824","2.3840(25)E+04","0.021154416098093806","2.321520893952963e-05","0.021154(23)","","","",""
"10s1/2","9p3/2","83.7403050","0.0418702","83.740(42)","53061.6576","5.6592","53062(6)","47551.4701","49.926220","4.7551(50)E+04","0.04219416137999029","4.541087914694992e-05","0.042194(45)","","","",""
"11s1/2","3p1/2","0.0969765","0.0000485","0.096977(49)","428.9043","0.0000","428.9043","120750.5730","120.779838","1.2075(12)E+05","0.148179976397749","0.0001365510368737534","0.14818(14)","","","",""
"11s1/2","3p3/2","0.1370706","0.0000685","0.137071(69)","429.2208","0.0000","429.2208","240704.1224","240.580153","2.4070(24)E+05","0.2953818791778489","0.00021986326403715845","0.29538(22)","","","",""
"11s1/2","4p1/2","0.2315751","0.0001158","0.23158(12)","999.5596","0.0020","999.560(2)","54399.5060","54.406343","5.4400(54)E+04","0.0667567640611379","6.71536232724503e-05","0.066757(67)","","","",""
"11s1/2","4p3/2","0.3270720","0.0001635","0.32707(16)","1000.1184","0.0020","1000.118(2)","108335.2460","108.313368","1.0834(11)E+05","0.1329444142425577","0.00012464454884480655","0.13294(12)","","","",""
"11s1/2","5p1/2","0.4565961","0.0002283","0.45660(23)","1911.6745","0.0073","1911.675(7)","30231.5108","30.233778","3.0232(30)E+04","0.03709882652796798","3.8396155149758976e-05","0.037099(38)","","","",""
"11s1/2","5p3/2","0.6446471","0.0003223","0.64465(32)","1912.5776","0.0074","1912.578(7)","60176.1194","60.175725","6.0176(60)E+04","0.07384557873520874","7.375389475947976e-05","0.073846(74)","","","",""
"11s1/2","6p1/2","0.8498991","0.0004249","0.84990(42)","3361.2587","0.0227","3361.26(2)","19269.3135","19.271025","1.9269(19)E+04","0.023646483445749787","2.4779179145454813e-05","0.023646(25)","","","",""
"11s1/2","6p3/2","1.1997090","0.0005999","1.19971(60)","3362.7168","0.0227","3362.72(2)","38345.8424","38.356633","3.8346(38)E+04","0.04705638967141271","4.8255584557920235e-05","0.047056(48)","","","",""
"11s1/2","7p1/2","1.6110709","0.0008055","1.61107(81)","5776.2867","0.0671","5776.29(7)","13643.3302","13.651003","1.3643(14)E+04","0.01674251552670788","1.7661752562440085e-05","0.016743(18)","","","",""
"11s1/2","7p3/2","2.2740572","0.0011370","2.2741(11)","5778.7902","0.0671","5778.79(7)","27147.4657","27.163260","2.7147(27)E+04","0.03331421722627742","3.461599956236524e-05","0.033314(35)","","","",""
"11s1/2","8p1/2","3.3826168","0.0016913","3.3826(17)","10277.0064","0.2123","10277.0(2)","10679.3060","10.699739","1.0679(11)E+04","0.013105190858803356","1.3886186725510956e-05","0.013105(14)","","","",""
"11s1/2","8p3/2","4.7747732","0.0023874","4.7748(24)","10282.1843","0.2125","10282.2(2)","21246.4639","21.287380","2.1246(21)E+04","0.026072758368958143","2.7304658367723526e-05","0.026073(27)","","","",""
"11s1/2","9p1/2","9.3531990","0.0046766","9.3532(47)","20968.0091","0.1244","20968.0(1)","9613.6005","9.615123","9.6136(96)E+03","0.011797402356006374","1.2495978991045162e-05","0.011797(12)","","","",""
"11s1/2","9p3/2","13.2085220","0.0066043","13.2085(66)","20982.5719","0.1245","20982.6(1)","19132.4065","19.135552","1.9132(19)E+04","0.023478476991298156","2.4608503545481674e-05","0.023478(25)","","","",""
"11s1/2","10p1/2","74.6530760","0.0373265","74.653(37)","74301.9333","1.5615","74302(2)","13763.6108","13.790925","1.3764(14)E+04","0.016890118771818147","1.7837110845041823e-05","0.016890(18)","","","",""
"11s1/2","10p3/2","105.7071200","0.0528536","105.707(53)","74430.7905","1.5669","74431(2)","27452.8791","27.507597","2.7453(28)E+04","0.03368900764049774","3.503598733791933e-05","0.033689(35)","","","",""
"3p1/2","3s1/2","3.5246","0.0023","3.5246(23)","589.7558","0.0001","589.7558(1)","61353633.3628","80073.405164","6.1354(80)E+07","1.0","0.0","1.0","U. Volz and H. Schmoranzer, Physica Scripta T65, 48 (1996)","https://doi.org/10.1088/0031-8949/1996/T65/007","",""
"3p3/2","3s1/2","4.9838","0.0034","4.9838(34)","589.1583","0.0001","589.1583(1)","61522286.9267","83942.286035","6.1522(84)E+07","0.9999999999999999","0.0","1.0","U. Volz and H. Schmoranzer, Physica Scripta T65, 48 (1996)","https://doi.org/10.1088/0031-8949/1996/T65/007","",""
"4p1/2","3s1/2","0.3053359","0.0030534","0.3053(31)","330.3929","0.0002","330.3929(2)","2618790.4618","52376.512790","2.619(52)E+06","0.27964662159055687","0.004033747411315074","0.2796(40)","","","",""
"4p1/2","4s1/2","8.3730242","0.0041865","8.3730(42)","2208.9728","0.0099","2208.97(1)","6589172.8067","6589.745500","6.5892(66)E+06","0.703622508689753","0.003940906019169465","0.7036(39)","","","",""
"4p1/2","3d3/2","10.8667300","0.0054334","10.8667(54)","9139.9073","0.1679","9139.9(2)","156678.6031","156.917381","1.5668(16)E+05","0.016730869719690133","9.574191270248209e-05","0.016731(96)","","","",""
"4p3/2","3s1/2","0.4353200","0.0043532","0.4353(44)","330.3319","0.0002","330.3319(2)","2663010.4051","53260.208367","2.663(53)E+06","0.28240449508021176","0.004057875263617259","0.2824(41)","","","",""
"4p3/2","4s1/2","11.8360370","0.0059180","11.8360(59)","2206.2485","0.0098","2206.25(1)","6607796.5939","6608.367885","6.6078(66)E+06","0.7007375777040463","0.003963395965341816","0.7007(40)","","","",""
"4p3/2","3d3/2","4.8575886","0.0024288","4.8576(24)","9093.4470","0.1662","9093.4(2)","15895.0961","15.919011","1.5895(16)E+04","0.0016856286360639554","9.740527491805101e-06","0.0016856(97)","","","",""
